,context_id,arm_id,feedback
0,0,0,5
1,0,1,5
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,5
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,5
12,0,12,0
13,0,13,5
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,5
18,1,0,0
19,1,1,0
20,1,2,5
21,1,3,5
22,1,4,0
23,1,5,5
24,1,6,5
25,1,7,5
26,1,8,5
27,1,9,0
28,1,10,5
29,1,11,5
30,1,12,5
31,1,13,5
32,1,14,5
33,1,15,0
34,1,16,5
35,1,17,5
36,2,0,0
37,2,1,5
38,2,2,0
39,2,3,0
40,2,4,5
41,2,5,5
42,2,6,0
43,2,7,0
44,2,8,0
45,2,9,0
46,2,10,5
47,2,11,0
48,2,12,0
49,2,13,5
50,2,14,0
51,2,15,5
52,2,16,0
53,2,17,0
54,3,0,0
55,3,1,0
56,3,2,0
57,3,3,0
58,3,4,0
59,3,5,0
60,3,6,5
61,3,7,0
62,3,8,0
63,3,9,5
64,3,10,0
65,3,11,5
66,3,12,5
67,3,13,0
68,3,14,0
69,3,15,0
70,3,16,0
71,3,17,0
72,4,0,0
73,4,1,0
74,4,2,0
75,4,3,0
76,4,4,5
77,4,5,5
78,4,6,0
79,4,7,5
80,4,8,0
81,4,9,0
82,4,10,5
83,4,11,0
84,4,12,0
85,4,13,5
86,4,14,0
87,4,15,0
88,4,16,0
89,4,17,0
90,5,0,0
91,5,1,0
92,5,2,5
93,5,3,0
94,5,4,0
95,5,5,0
96,5,6,5
97,5,7,5
98,5,8,5
99,5,9,5
100,5,10,5
101,5,11,0
102,5,12,0
103,5,13,5
104,5,14,5
105,5,15,0
106,5,16,5
107,5,17,0
108,6,0,0
109,6,1,0
110,6,2,0
111,6,3,0
112,6,4,0
113,6,5,5
114,6,6,0
115,6,7,0
116,6,8,0
117,6,9,5
118,6,10,5
119,6,11,5
120,6,12,0
121,6,13,5
122,6,14,5
123,6,15,5
124,6,16,5
