,arm_id,arm_labels,category_unknown,category_action,category_adventure,category_animation,category_children's,category_comedy,category_crime,category_documentary,category_drama,category_fantasy,category_film-noir,category_horror,category_musical,category_mystery,category_romance,category_sci-Fi,category_thriller,category_war,category_western,lifetime,lifetime_rewards
0,0,Toy Story (1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,0.8014180171591992
1,1,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6271,0.6263703527168731
2,2,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9392,0.44041944709246905
3,3,Get Shorty (1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6404,0.6184461391801717
4,4,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,15021,0.10504051477597709
5,5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8386,0.5003574833174451
6,6,Twelve Monkeys (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5672,0.6620591039084842
7,7,Babe (1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5057,0.6987011439466158
8,8,Dead Man Walking (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15245,0.09169447092469019
9,9,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16447,0.020078646329837913
10,10,Seven (Se7en) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3182,0.8104146806482364
11,11,Usual Suspects-  The (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1267,0.9245114394661582
12,12,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16222,0.03348427073403237
13,13,Postino-  Il (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11883,0.2920042897998093
14,14,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,672,0.9599618684461392
15,15,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15170,0.09616301239275504
16,16,From Dusk Till Dawn (1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,16749,0.0020853193517635926
17,17,White Balloon-  The (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16404,0.022640610104861736
18,18,Antonia's Line (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14279,0.1492492850333651
19,19,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10630,0.36665872259294563
20,20,Muppet Treasure Island (1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1611,0.9040157292659676
21,21,Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13746,0.1810057197330791
22,22,Taxi Driver (1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1986,0.8816730219256435
23,23,Rumble in the Bronx (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14517,0.13506911344137273
24,24,Birdcage-  The (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0.9760486177311726
25,25,Brothers McMullen-  The (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.9974976167778837
26,26,Bad Boys (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16265,0.03092230695900855
27,27,Apollo 13 (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10208,0.39180171591992374
28,28,Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3014,0.8204242135367016
29,29,Belle de jour (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9303,0.44572211630123926
30,30,Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,11872,0.2926596758817922
31,31,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5072,0.6978074356530028
32,32,Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13844,0.17516682554814111
33,33,Doom Generation-  The (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14846,0.11546711153479505
34,34,Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3216,0.8083889418493804
35,35,Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12544,0.2526215443279314
36,36,Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13696,0.18398474737845572
37,37,Net-  The (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9242,0.44935653002859866
38,38,Strange Days (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14447,0.13923975214489992
39,39,To Wong Foo-  Thanks for Everything! Julie Newmar (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11131,0.33680886558627265
40,40,Billy Madison (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13280,0.2087702573879886
41,41,Clerks (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14973,0.10790038131553858
42,42,Disclosure (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5268,0.6861296472831269
43,43,Dolores Claiborne (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3747,0.7767516682554814
44,44,Eat Drink Man Woman (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5569,0.6681959008579599
45,45,Exotica (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10108,0.39775977121067685
46,46,Ed Wood (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8865,0.47181839847473783
47,47,Hoop Dreams (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13428,0.199952335557674
48,48,I.Q. (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10283,0.3873331744518589
49,49,Star Wars (1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,12741,0.24088417540514773
50,50,Legends of the Fall (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1077,0.9358317445185891
51,51,Madness of King George-  The (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6506,0.6123689227836034
52,52,Natural Born Killers (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13134,0.2174690181124881
53,53,Outbreak (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8302,0.5053622497616778
54,54,Professional-  The (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,8492,0.4940419447092469
55,55,Pulp Fiction (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5063,0.6983436606291706
56,56,Priest (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9800,0.4161105815061964
57,57,Quiz Show (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14783,0.11922068636796945
58,58,Three Colors: Red (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7098,0.5770972354623451
59,59,Three Colors: Blue (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15113,0.09955910390848433
60,60,Three Colors: White (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8285,0.5063751191611059
61,61,Stargate (1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1223,0.9271329837940896
62,62,Santa Clause-  The (1994),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4530,0.7301000953288846
63,63,Shawshank Redemption-  The (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14434,0.14001429933269782
64,64,What's Eating Gilbert Grape (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13509,0.1951263107721639
65,65,While You Were Sleeping (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7705,0.5409318398474738
66,66,Ace Ventura: Pet Detective (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12412,0.2604861773117254
67,67,Crow-  The (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7311,0.5644065776930409
68,68,Forrest Gump (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,324,0.98069590085796
69,69,Four Weddings and a Funeral (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7579,0.5484389895138226
70,70,Lion King-  The (1994),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13938,0.16956625357483313
71,71,Mask-  The (1994),0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2424,0.8555767397521449
72,72,Maverick (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16180,0.03598665395614875
73,73,Faster Pussycat! Kill! Kill! (1965),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4256,0.7464251668255482
74,74,Brother Minister: The Assassination of Malcolm X (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13845,0.17510724499523356
75,75,Carlito's Way (1993),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10631,0.3665991420400382
76,76,Firm-  The (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8778,0.47700190657769304
77,77,Free Willy (1993),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16443,0.020316968541468028
78,78,Fugitive-  The (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3279,0.8046353670162059
79,79,Hot Shots! Part Deux (1993),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12934,0.2293851286939943
80,80,Hudsucker Proxy-  The (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12810,0.2367731172545281
81,81,Jurassic Park (1993),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4142,0.7532173498570067
82,82,Much Ado About Nothing (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14707,0.12374880838894187
83,83,Robert A. Heinlein's The Puppet Masters (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16386,0.02371306005719731
84,84,Ref-  The (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15801,0.05856768350810293
85,85,Remains of the Day-  The (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15007,0.10587464251668255
86,86,Searching for Bobby Fischer (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3272,0.8050524308865586
87,87,Sleepless in Seattle (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1644,0.902049571020019
88,88,Blade Runner (1982),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6248,0.6277407054337465
89,89,So I Married an Axe Murderer (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,16683,0.0060176358436606625
90,90,Nightmare Before Christmas-  The (1993),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11098,0.33877502383222113
91,91,True Romance (1993),0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9000,0.46377502383222113
92,92,Welcome to the Dollhouse (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12569,0.25113203050524313
93,93,Home Alone (1990),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7650,0.544208770257388
94,94,Aladdin (1992),0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10862,0.3528360343183985
95,95,Terminator 2: Judgment Day (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13339,0.2052550047664442
96,96,Dances with Wolves (1990),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14873,0.11385843660629169
97,97,Silence of the Lambs-  The (1991),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4936,0.705910390848427
98,98,Snow White and the Seven Dwarfs (1937),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9232,0.449952335557674
99,99,Fargo (1996),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,11609,0.3083293612964728
100,100,Heavy Metal (1981),0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13350,0.20459961868446142
101,101,Aristocats-  The (1970),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8594,0.4879647283126788
102,102,All Dogs Go to Heaven 2 (1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2383,0.8580195424213537
103,103,Theodore Rex (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7915,0.5284199237368923
104,104,Sgt. Bilko (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2318,0.8618922783603432
105,105,Diabolique (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2389,0.8576620591039085
106,106,Moll Flanders (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1211,0.9278479504289799
107,107,Kids in the Hall: Brain Candy (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7192,0.5714966634890372
108,108,Mystery Science Theater 3000: The Movie (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7559,0.5496306005719733
109,109,Operation Dumbo Drop (1995),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9974,0.405743565300286
110,110,Truth About Cats and Dogs-  The (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10029,0.4024666348903718
111,111,Flipper (1996),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13181,0.21466873212583415
112,112,Horseman on the Roof-  The (Hussard sur le toit-  Le) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,248,0.9852240228789323
113,113,Wallace and Gromit: The Best of Aardman Animation (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752,0.7764537654909438
114,114,Haunted World of Edward D. Wood Jr.-  The (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8959,0.46621782650142995
115,115,Cold Comfort Farm (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15624,0.0691134413727359
116,116,Rock-  The (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6648,0.6039084842707341
117,117,Twister (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14822,0.11689704480457574
118,118,Maya Lin: A Strong Clear Vision (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10996,0.34485224022878935
119,119,Striptease (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7632,0.5452812202097235
120,120,Independence Day (ID4) (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7504,0.5529075309818875
121,121,Cable Guy-  The (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9184,0.4528122020972355
122,122,Frighteners-  The (1996),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11227,0.33108913250714966
123,123,Lone Star (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3127,0.8136916110581507
124,124,Phenomenon (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11505,0.31452573879885604
125,125,Spitfire Grill-  The (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4843,0.7114513822688275
126,126,Godfather-  The (1972),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5964,0.6446615824594852
127,127,Supercop (1992),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4401,0.7377859866539562
128,128,Bound (1996),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5262,0.686487130600572
129,129,Kansas City (1996),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7998,0.5234747378455672
130,130,Breakfast at Tiffany's (1961),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8712,0.4809342230695901
131,131,Wizard of Oz-  The (1939),0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14611,0.12946854146806486
132,132,Gone with the Wind (1939),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1227,0.9268946615824595
133,133,Citizen Kane (1941),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2803,0.8329957102001907
134,134,2001: A Space Odyssey (1968),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,14621,0.1288727359389895
135,135,Mr. Smith Goes to Washington (1939),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5824,0.6530028598665396
136,136,Big Night (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1964,0.8829837940896091
137,137,D3: The Mighty Ducks (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,0.9168851286939943
138,138,Love Bug-  The (1969),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7284,0.5660152526215443
