,context_id,arm_id,feedback
32236,0,0,5
23171,0,1,3
83307,0,2,4
62631,0,3,3
47638,0,4,3
5533,0,5,5
70539,0,6,4
31650,0,7,1
20175,0,8,5
13542,0,9,3
50736,0,10,2
8976,0,11,5
89876,0,12,5
9170,0,13,5
88021,0,14,5
54634,0,15,5
1780,0,16,3
87831,0,17,4
85557,0,18,5
478,0,19,4
20970,0,20,1
20952,0,21,4
16590,0,22,4
15299,0,23,3
56881,0,24,4
36878,0,25,3
4001,0,26,2
92049,0,27,4
86585,0,28,1
24493,0,29,3
3733,0,30,3
25255,0,31,5
333,0,32,4
34642,0,33,2
51295,0,34,1
16455,0,35,2
37820,0,36,2
20153,0,37,3
15932,0,38,4
26974,0,39,3
43263,0,40,2
67079,0,41,5
73972,0,42,4
9255,0,43,5
56067,0,44,5
41842,0,45,4
1167,0,46,4
56312,0,47,5
5682,0,48,3
45796,0,49,5
7180,0,50,4
88262,0,51,4
9307,0,52,3
15270,0,53,3
66567,0,54,5
4290,0,55,4
45732,0,56,5
78171,0,57,4
87967,0,58,5
3888,0,59,5
202,0,60,4
18796,0,61,3
24547,0,62,2
2328,0,63,5
17220,0,64,4
43859,0,65,4
17031,0,66,3
22496,0,67,4
19722,0,68,3
3836,0,69,3
40756,0,70,3
5842,0,71,4
16922,0,72,3
3248,0,73,1
34165,0,74,4
5773,0,75,4
44074,0,76,4
6649,0,77,1
55001,0,78,4
4411,0,79,4
6567,0,80,5
4280,0,81,5
81568,0,82,3
3710,0,83,4
13030,0,84,3
15638,0,85,5
47860,0,86,5
88893,0,87,4
23128,0,88,5
1989,0,89,4
13165,0,90,5
3049,0,91,3
31376,0,92,5
99073,0,93,2
77238,0,94,4
6028,0,95,5
9224,0,96,3
3358,0,97,4
32151,0,98,3
17672,0,99,5
59055,0,100,2
19699,0,101,2
14792,0,102,1
5555,0,103,1
31991,0,104,2
49853,0,105,4
7993,0,106,4
8834,0,107,5
40519,0,108,5
43438,0,109,1
88259,0,110,5
11154,0,111,1
1440,0,112,5
3234,0,113,5
50156,0,114,5
74847,0,115,3
972,0,116,3
14930,0,117,3
36844,0,118,5
5141,0,119,1
3191,0,120,4
94019,0,121,3
60926,0,122,4
77073,0,123,5
5233,0,124,3
81463,0,125,2
53552,0,126,5
10520,0,127,4
13638,0,128,5
14079,0,129,3
39865,0,130,1
3246,0,131,4
27235,0,132,4
3260,0,133,4
21947,0,134,4
38697,0,135,3
51616,0,136,5
23028,0,137,1
67098,0,138,3
4919,0,139,1
25721,0,140,3
78695,0,141,2
7101,0,142,1
35389,0,143,4
4165,0,144,2
22669,0,145,4
32015,0,146,3
11080,0,147,2
73358,0,148,2
9971,0,149,5
7158,0,150,4
96699,0,151,5
58377,0,152,3
18304,0,153,5
933,0,154,2
48214,0,155,4
9722,0,156,4
37810,0,157,3
4232,0,158,3
334,0,159,4
18695,0,160,4
43280,0,161,4
9382,0,162,4
16053,0,163,3
74577,0,164,5
22971,0,165,5
50026,0,166,2
59972,0,167,5
42456,0,168,5
19996,0,169,5
687,0,170,5
92487,0,171,5
34026,0,172,5
4177,0,173,5
7561,0,174,5
22845,0,175,5
3909,0,176,5
47539,0,177,5
21152,0,178,3
12516,0,179,3
38193,0,180,5
40600,0,181,4
10207,0,182,5
9692,0,183,4
5909,0,184,4
3377,0,185,4
21626,0,186,4
19610,0,187,3
305,0,188,3
17297,0,189,5
62069,0,190,5
47521,0,191,4
11321,0,192,4
28430,0,193,4
57423,0,194,5
15764,0,195,5
33909,0,196,5
75385,0,197,5
45483,0,198,4
12457,0,199,3
9811,0,200,3
639,0,201,5
62820,0,202,4
82786,0,203,5
31742,0,204,3
5716,0,205,4
84793,0,206,5
10508,0,207,5
8737,0,208,4
9566,0,209,4
26687,0,210,3
6965,0,211,4
6212,0,212,2
18313,0,213,4
5260,0,214,3
78817,0,215,5
77630,0,216,3
8597,0,217,3
11807,0,218,1
31243,0,219,3
3431,0,220,5
1299,0,221,4
40783,0,222,5
16673,0,223,5
4963,0,224,2
17863,0,225,3
1617,0,226,4
3059,0,227,5
4839,0,228,4
16314,0,229,4
82444,0,230,1
11859,0,231,3
6234,0,232,2
31856,0,233,4
4974,0,234,5
12011,0,235,4
39296,0,236,2
48078,0,237,4
27949,0,238,4
70168,0,239,3
14025,0,240,4
10922,0,241,5
17988,0,242,1
85377,0,243,2
50792,0,244,2
20470,0,245,5
23095,0,246,1
